amazon_key,x_coord,y_coord
fm_-141653_-77565,264,232
fm_-14171_-81673,269,337
fm_-14180_591,307,362
fm_-14204_21592,95,286
fm_-142113_-69455,69,211
fm_-142113_-88055,309,114
fm_-14235_-73613,438,361
fm_-142428_-71035,325,297
fm_-14245_-77623,162,331
fm_-14245_-80773,252,198
fm_-142468_-84015,403,26
fm_-142478_-87135,209,186
fm_-142523_-71935,15,67
fm_-142543_-85605,179,249
fm_-142573_-74465,480,134
fm_-14276_-68653,240,228
fm_-142878_-64845,466,320
fm_-142908_-66685,53,146
fm_-142918_-71005,140,252
fm_-142928_-69775,198,28
fm_-142928_-73515,251,171
fm_-142983_-90525,392,340
fm_-14322_-1898,442,172
fm_-14357_-99287,232,354
fm_-1435_-95277,353,99
fm_-143893_-91185,276,335
fm_-14392_42987,80,258
fm_-14401_8967,193,316
fm_-14465_-103987,352,218
fm_-14465_30587,129,31
fm_-14469_58981,438,64
fm_-14479_61471,208,160
fm_-14493_8057,297,72
fm_-14551_-75452,453,43
fm_-14585_56201,401,25
fm_-14591_-68943,273,108
fm_-14603_43597,201,49
fm_-14675_-79533,428,299
fm_-14796_42007,219,212
fm_-14805_49961,470,149
fm_-14836_40167,371,242
fm_-14913_5782,370,227
fm_-14915_-92167,249,126
fm_-14915_36787,319,5
fm_-14932_16584,433,261
fm_-14942_9444,197,66
fm_-14985_61161,31,223
fm_-15040_9541,398,136
fm_-15045_17552,443,358
fm_-15125_-72993,44,222
fm_-15185_-81353,24,269
fm_-15218_-4820,192,248
fm_-15236_30877,319,146
fm_-15242_20757,402,31
fm_-15302_9714,158,82
fm_-15319_-3168,493,281
fm_-15320_301,26,375
fm_-15338_-73882,24,269
fm_-15348_1698,74,349
fm_-15349_54021,103,315
fm_-15365_33027,39,157
fm_-15441_-77282,17,80
fm_-15481_-79813,58,37
fm_-15481_-80433,459,100
fm_-15521_-78573,218,226
fm_-15550_6501,318,132
fm_-15600_-81983,311,257
fm_-15687_-100517,244,108
fm_-15749_-12788,234,310
fm_-15761_14247,294,105
fm_-15789_52171,80,67
fm_-15789_56491,146,338
fm_-15802_10954,149,62
fm_-15821_-13738,318,132
fm_-15823_6827,228,141
fm_-15840_-10770,289,327
fm_-15852_5734,430,262
fm_-15881_-4708,128,104
fm_-15881_-70472,401,287
fm_-15931_-72663,30,236
fm_-15931_-79163,408,22
fm_-15961_-70813,61,303
fm_-16055_-73583,160,369
fm_-16122_20757,94,36
fm_-16148_-7340,22,177
fm_-16162_9104,36,64
fm_-16176_35857,247,186
fm_-16227_-1410,317,159
fm_-16235_-92187,44,306
fm_-16238_-80702,493,102
fm_-16255_-95297,239,203
fm_-16268_-752,219,136
fm_-16270_29317,23,83
fm_-16278_-75742,206,174
fm_-16285_-93427,222,234
fm_-16303_11177,261,260
fm_-16323_13957,431,276
fm_-16335_58641,190,56
fm_-16341_-75422,32,30
fm_-16395_16272,4,217
fm_-16430_5841,348,32
fm_-16480_-81963,382,75
fm_-16567_-93117,317,159
fm_-16596_31507,414,188
fm_-16629_-17398,396,315
fm_-16632_15624,24,114
fm_-16636_33997,228,238
fm_-16688_9438,232,369
fm_-16694_19122,90,55
fm_-16700_10501,184,254
fm_-16700_6141,106,351
fm_-16709_50301,59,360
fm_-16723_14567,192,311
fm_-16735_-95927,14,118
fm_-16740_-10110,274,240
fm_-16742_20302,129,322
fm_-16753_11177,103,199
fm_-16753_13967,435,74
fm_-16761_-9038,194,185
fm_-16766_-16158,121,208
fm_-16795_17532,210,111
fm_-16821_-79163,482,274
fm_-16841_-72332,257,243
fm_-16851_-73913,261,12
fm_-16871_-80413,103,303
fm_-16886_808,377,184
fm_-16945_-71113,233,356
fm_-17019_-180,338,323
fm_-17037_-92477,222,69
fm_-17069_-230,153,290
fm_-17071_-16828,129,92
fm_-17082_12504,85,217
fm_-17086_27737,485,56
fm_-17110_4311,131,308
fm_-17121_6477,63,231
fm_-17128_-73922,95,286
fm_-17135_-98387,459,257
fm_-17158_5728,231,211
fm_-17165_-94647,311,37
fm_-1717_-98697,209,186
fm_-17182_15934,129,89
fm_-171_-72683,490,120
fm_-17202_14054,484,256
fm_-17232_20612,60,77
fm_-17232_20632,388,221
fm_-17275_63611,14,144
fm_-17281_-80463,261,243
fm_-17301_-71413,398,18
fm_-17331_-72063,73,134
fm_-17375_-74223,310,1
fm_-17386_28387,235,257
fm_-1738_-13540,194,185
fm_-17421_5257,153,225
fm_-17477_-103037,288,47
fm_-1756_40177,184,129
fm_-17572_42927,488,247
fm_-17580_-16498,121,175
fm_-1758_-2960,390,208
fm_-17602_9424,117,76
fm_-17608_8238,129,118
fm_-17609_52761,452,209
fm_-17612_20352,143,186
fm_-17614_19867,259,185
fm_-17618_-73872,108,363
fm_-17618_8208,494,80
fm_-17628_2358,393,220
fm_-17630_-16528,402,299
fm_-1767_-98047,252,185
fm_-17695_10742,97,312
fm_-17721_-70833,98,368
fm_-17740_6491,467,368
fm_-17741_-80432,475,138
fm_-17781_-69563,172,131
fm_-17845_-73623,264,232
fm_-17865_-71753,357,214
fm_-17971_13007,209,120
fm_-18011_17347,80,265
fm_-18011_17957,437,118
fm_-18025_-97757,325,215
fm_-18030_2721,198,37
fm_-18044_17252,319,277
fm_-18058_-69542,128,104
fm_-18066_-68932,99,242
fm_-18075_-92177,17,303
fm_-18078_-71452,378,193
fm_-18078_10058,286,307
fm_-18078_5718,318,251
fm_-18094_19092,359,96
fm_-18101_-7798,373,328
fm_-18118_6217,408,71
fm_-18211_-78573,78,261
fm_-18240_4641,444,127
fm_-18335_-105167,295,172
fm_-18368_-13550,182,112
fm_-18376_30837,310,250
fm_-18376_32697,349,52
fm_-18415_49971,473,305
fm_-18417_-102407,36,276
fm_-18451_7747,364,278
fm_-18459_-6868,257,364
fm_-18475_-96537,374,63
fm_-18498_-76392,145,300
fm_-18520_-7660,483,327
fm_-18581_-76092,317,159
fm_-1858_-73282,193,132
fm_-1858_-77652,476,208
fm_-18591_-71742,95,286
fm_-18605_55571,59,348
fm_-18625_8272,52,100
fm_-18641_-75173,220,281
fm_-18785_-73613,130,344
fm_-18824_6072,104,322
fm_-18828_-12300,75,361
fm_-18866_38277,280,222
fm_-18920_4891,194,159
fm_-18935_36757,433,261
fm_-18938_-80112,45,154
fm_-18945_-15080,489,199
fm_-18945_37377,200,257
fm_-18955_39837,125,336
fm_-18958_-71392,175,354
fm_-18969_55841,207,174
fm_-18974_18462,340,248
fm_-18978_5098,351,369
fm_-18985_-100847,490,120
fm_-18988_-77032,349,117
fm_-19011_-9698,20,179
fm_-19071_-81033,209,266
fm_-19085_52421,290,207
fm_-19126_5428,128,279
fm_-19131_-79823,444,204
fm_-1914_-68023,94,330
fm_-19195_-78873,437,40
fm_-19195_-79513,391,244
fm_-19225_-72963,230,242
fm_-19235_-77613,499,299
fm_-19268_-11680,393,163
fm_-19281_-16838,182,54
fm_-19282_20177,334,51
fm_-19287_-97447,295,208
fm_-19336_34607,232,301
fm_-19400_9851,118,163
fm_-19419_50281,489,118
fm_-19439_60821,437,118
fm_-19448_4488,365,226
fm_-1948_-1110,294,368
fm_-19521_-76743,145,212
fm_-19540_4621,211,232
fm_-19540_6441,162,201
fm_-19548_-850,196,66
fm_-19556_6078,126,31
fm_-1955_18802,363,156
fm_-19625_-77623,264,186
fm_-19655_-74243,17,80
fm_-19736_31467,399,115
fm_-1975_58061,249,126
fm_-19941_-81062,160,14
fm_-19965_15052,367,94
fm_-19971_-79163,118,42
fm_-19990_10191,227,41
fm_-20006_3568,118,366
fm_-20017_-68292,436,321
fm_-20026_9128,491,222
fm_-20056_28377,167,129
fm_-2005_15712,132,80
fm_-20125_-73023,90,112
fm_-20196_41387,18,281
fm_-20255_6352,385,143
fm_-20285_-97757,247,232
fm_-20294_18482,61,186
fm_-20313_-67723,161,281
fm_-2031_-74573,188,296
fm_-20351_-12458,20,222
fm_-20351_-7208,61,161
fm_-20411_-71722,196,317
fm_-20440_51831,184,129
fm_-20445_62381,112,115
fm_-20585_-72353,329,318
fm_-20672_-90937,264,151
fm_-20691_10237,44,330
fm_-20750_-7030,117,57
fm_-20750_29327,121,314
fm_-20821_-9698,350,211
fm_-20823_18937,461,339
fm_-20824_-68033,304,344
fm_-20854_-90347,250,318
fm_-2086_-68653,342,76
fm_-20916_3598,442,102
fm_-20956_5418,402,299
fm_-20972_66111,313,40
fm_-21086_37077,492,259
fm_-21087_-102397,121,175
fm_-21093_28047,228,271
fm_-21126_37677,108,357
fm_-21126_41387,209,197
fm_-21140_4321,292,169
fm_-2115_-71763,457,201
fm_-21224_12242,379,303
fm_-21249_-82582,216,208
fm_-21271_-4698,422,199
fm_-21281_-14358,398,190
fm_-21310_7032,327,254
fm_-21321_-76733,109,299
fm_-21321_-79223,415,195
fm_-21325_53071,185,238
fm_-21350_65801,195,331
fm_-21390_4011,349,257
fm_-21390_7691,344,115
fm_-21425_-78293,359,285
fm_-21435_-81383,315,317
fm_-21517_-100537,251,237
fm_-21517_-102997,177,367
fm_-21536_37077,393,220
fm_-21556_39517,332,22
fm_-21571_7727,294,89
fm_-21610_7371,414,152
