amazon_key,tech
fm_-36489_-17408,15
fm_-36489_-4418,15
fm_-37041_-8428,12
fm_-37389_-8758,40
fm_-39210_5561,25
fm_-39258_1068,5
fm_-4037_-95607,12
fm_-42082_-9206,15
fm_-43155_-54069,15
fm_-4317_-68352,12
fm_-44506_-25814,15
fm_-44508_35325,40
fm_-45509_-59329,15
fm_-45856_-30144,3
fm_-45856_-3617,15
fm_-47058_27605,7
fm_-47101_-35704,7
fm_-47309_-51949,15
fm_-47943_14564,33
fm_-48903_-12907,15
fm_-49458_35975,6
fm_-49732_-4226,8
fm_-49801_-27304,72
fm_-4989_-15848,8
fm_-4989_-9348,15
fm_-5083_-67693,11
fm_-51258_33745,15
fm_-51359_-54409,7
fm_-51711_-76553,3
fm_-51712_-56949,12
fm_-5191_-78563,5
fm_-52156_-83113,4
fm_-52608_30075,29
fm_-52882_-2356,9
fm_-52951_-35674,16
fm_-52953_-12917,5
fm_-53384_21694,15
fm_-53506_-37244,9
fm_-53855_32215,8
fm_-54232_-7986,5
fm_-54243_18274,2
fm_-54855_-56569,5
fm_-55235_-7636,8
fm_-55612_-96401,5
fm_-55650_-101217,8
fm_-55752_-69723,14
fm_-55757_16191,14
fm_-56071_-72764,17
fm_-56103_-11627,59
fm_-56506_-16917,8
fm_-57001_-32574,15
fm_-57111_-74703,9
fm_-57485_-14446,3
fm_-57557_18731,14
fm_-57558_31285,7
fm_-58011_-75933,5
fm_-58321_-74624,7
fm_-58462_-52959,15
fm_-58462_-98127,7
fm_-58656_-92361,6
fm_-59253_-7597,4
fm_-59326_-77454,15
fm_-60156_26945,66
fm_-61161_-76583,56
fm_-61471_-81454,45
fm_-61505_30985,4
fm_-61576_-74314,15
fm_-61912_-100761,7
fm_-62058_36535,5
fm_-62371_-69724,15
fm_-62855_41185,3
fm_-62956_-4177,6
fm_-63406_-36024,41
fm_-63408_40905,17
fm_-63749_-56669,15
fm_-6400_-14490,17
fm_-64204_-39754,24
fm_-64726_-78694,16
fm_-65103_-5727,8
fm_-65212_-95647,15
fm_-65493_12084,7
fm_-65555_34105,17
fm_-6645_-71783,15
fm_-66555_-57169,15
fm_-6683_20457,21
fm_-66901_-34484,15
fm_-67006_-83103,12
fm_-67351_-27304,4
fm_-67801_7551,58
fm_-68705_30335,21
fm_-69006_-104121,18
fm_-69604_-39714,5
fm_-69886_8024,15
fm_-70053_-6377,15
fm_-70158_29415,8
fm_-70602_5981,15
fm_-70611_-71583,33
fm_-71062_-93157,15
fm_-71062_-96877,5
fm_-71851_-77813,7
fm_-71851_14021,15
fm_-72300_-104997,15
fm_-72405_-46639,8
fm_-72407_7211,15
fm_-72751_-72533,31
fm_-72751_6941,5
fm_-73268_41845,5
fm_-73311_-71583,15
fm_-73655_30965,18
fm_-74062_-96401,5
fm_-74071_-76524,5
fm_-74208_34725,5
fm_-74656_-11987,7
fm_-74999_-53269,4
fm_-75000_-96567,7
fm_-75451_7521,6
fm_-7545_-75753,15
fm_-75556_-31394,5
fm_-75903_-12867,18
fm_-76008_34375,15
fm_-76008_39075,6
fm_-76559_-53809,24
fm_-76799_-50749,62
fm_-7691_16737,8
fm_-77106_-92961,5
fm_-77251_-74413,8
fm_-77279_-62229,5
fm_-77671_-77114,7
fm_-77808_34735,6
fm_-78431_-82714,13
fm_-78706_-13207,15
fm_-79951_-77793,6
fm_-79955_29135,15
fm_-8096_35207,17
fm_-8301_-72352,5
fm_-8341_-75183,20
fm_-85131_-102860,15
fm_-8538_-6700,8
fm_-85684_-68884,6
fm_-85800_-102552,23
fm_-8649_55861,6
fm_-8662_5064,8
fm_-86681_-81884,7
fm_-8693_9907,15
fm_-87437_-94470,30
fm_-87484_-80324,54
fm_-8751_-73622,15
fm_-87586_-69824,8
fm_-87934_-77844,15
fm_-91143_-13844,24
fm_-92536_-78154,15
fm_-93795_-54707,7
fm_-9437_-101757,19
fm_-97500_-102542,7
fm_-98797_-68224,15
fm_-99526_-105970,14
fm_10048_59354,4
fm_101043_-51203,4
fm_10151_-28521,15
fm_101596_33458,4
fm_102393_-80001,21
fm_102432_-90240,4
fm_102498_-47773,15
fm_102948_-24549,29
fm_102948_-58633,7
fm_103289_8877,17
fm_104643_-76251,5
fm_10499_-94648,15
fm_107445_11667,5
fm_107898_-54313,19
fm_108346_-9302,15
fm_108449_59017,15
fm_108455_-23359,5
fm_108795_7897,15
fm_10948_58114,5
fm_10955_19686,15
fm_109592_34338,4
fm_109593_-46903,15
fm_110043_-75661,15
fm_110082_-90240,15
fm_111496_38728,3
fm_11163_-90038,31
fm_112301_-68561,24
fm_112736_-9642,20
fm_112742_34328,4
fm_112986_28478,8
fm_113195_-1832,4
fm_113849_59627,4
fm_114195_-90850,14
fm_114195_7947,43
fm_114449_51247,25
fm_114542_42118,15
fm_114543_-70361,20
fm_116343_-71611,62
fm_116900_-70681,15
fm_11851_-47426,22
fm_119594_59887,6
fm_120045_-102900,28
fm_120390_-98930,7
fm_121400_-79071,19
fm_121846_36808,14
fm_122435_-104800,22
fm_12301_-47366,39
fm_124544_54047,15
fm_124545_7937,28
fm_125898_-28909,6
fm_12953_21020,9
fm_13592_20976,7
fm_13648_52174,7
fm_13651_-69378,5
fm_14458_21475,15
fm_14549_-101148,6
fm_14900_10996,4
fm_15418_25835,5
fm_15455_9446,43
fm_15598_23170,4
fm_16221_22030,21
fm_16457_-50156,33
fm_17158_59644,4
fm_17402_13570,5
fm_17554_-11685,15
fm_17571_13920,15
fm_17807_-58536,7
fm_18149_41816,7
fm_18302_22550,15
fm_18806_20268,45
fm_19253_15310,9
fm_19454_25090,15
fm_19589_10748,15
fm_19947_16560,15
fm_20039_16308,5
fm_20119_9148,33
fm_20153_12170,72
fm_20430_13478,15
fm_20500_19778,7
fm_20504_40206,4
fm_20602_17040,9
fm_20859_-68778,15
fm_21056_18988,2
fm_21299_39896,57
fm_21747_22760,3
fm_22054_-14785,6
fm_22165_8498,15
fm_22750_13258,36
fm_22852_22640,39
fm_22971_20120,12
fm_23143_23950,7
fm_23303_-25081,15
fm_23647_17072,43
fm_23900_11016,15
fm_24058_21475,15
fm_24206_14668,4
fm_24251_18600,14
fm_24264_25710,14
fm_24457_43016,15
fm_24547_23902,8
fm_24656_13128,15
fm_25355_16576,6
fm_25765_18698,22
fm_26356_-78058,7
fm_26571_19530,7
fm_27050_19386,15
fm_27247_17712,40
fm_27251_-27901,73
fm_27256_12360,15
fm_27277_21390,9
fm_27348_-225,11
fm_27706_20090,65
fm_28055_17196,7
fm_28150_22878,15
fm_28253_16810,7
fm_28256_18388,15
fm_28465_20588,8
fm_28503_24780,7
fm_28606_17610,15
fm_29300_13826,6
fm_29399_-100548,5
fm_29499_15440,35
fm_29506_-76218,21
fm_29849_-102428,11
fm_29939_16328,4
fm_29950_21598,15
fm_29950_22818,9
fm_30301_-73088,15
fm_30398_11822,14
fm_30401_-24771,8
fm_31299_12670,66
fm_31406_11248,15
fm_31739_11348,6
fm_32097_22130,17
fm_32303_-37211,5
fm_32547_16210,6
fm_32602_12520,6
fm_32626_24222,6
fm_32965_12818,19
fm_33101_-26011,39
fm_33101_-28471,7
fm_33105_-100278,12
fm_33106_-72168,15
fm_33202_-14485,15
fm_33557_-57316,15
fm_33653_19300,45
fm_33899_34626,59
fm_34185_25500,5
fm_34671_24290,5
fm_34801_-71878,12
fm_35302_10630,6
fm_35902_-11365,6
fm_35980_11130,5
fm_36147_14380,5
fm_36147_20890,40
fm_36225_-105798,26
fm_36248_13052,5
fm_36471_15160,20
fm_36597_15000,19
fm_36697_22672,54
fm_36904_-9225,11
fm_36921_15170,31
fm_37028_9788,4
fm_37049_-91578,7
fm_37051_-56396,15
fm_37055_19066,15
fm_38055_-91278,20
fm_38591_8858,5
fm_38694_24580,6
fm_38721_24280,4
fm_38815_13458,8
fm_39397_18352,15
fm_39406_-70888,4
fm_39502_-3625,5
fm_39956_15268,6
fm_40205_19096,18
fm_40267_6242,14
fm_40307_-49576,15
fm_40647_14990,10
fm_40889_9448,4
fm_41006_6918,5
fm_41130_18138,15
fm_41197_9682,5
fm_41475_7260,15
fm_41955_12180,4
fm_42641_23820,5
fm_43379_16710,3
fm_43502_18810,9
fm_43830_18178,5
fm_43897_20792,37
fm_43946_26558,15
fm_44270_17370,5
fm_44729_19810,4
fm_44966_25380,5
fm_44980_15160,22
fm_45555_14040,6
fm_45880_8700,5
fm_46551_24428,24
fm_46598_16172,15
fm_46780_12390,7
fm_47355_16830,15
fm_47947_18322,68
fm_48352_15650,32
fm_48442_-90768,9
fm_48802_13120,12
fm_48846_10833,4
fm_49679_14220,7
fm_49747_15852,48
fm_49848_5833,39
fm_49853_-29166,39
fm_49930_15210,24
fm_50206_15750,5
fm_50639_21558,26
fm_50753_13893,2
fm_51099_17960,8
fm_51103_-15073,5
fm_51203_7423,15
fm_51920_19860,7
fm_51989_16948,20
fm_51999_8150,12
fm_52098_5843,14
fm_52601_-104978,5
fm_52901_-97268,19
fm_54000_37753,5
fm_5404_-9205,15
fm_54450_37113,15
fm_54802_-3283,41
fm_55255_-93248,15
fm_55391_-60611,5
fm_55703_-31306,15
fm_55841_-60591,15
fm_56153_-26626,4
fm_56742_-16013,29
fm_57399_-2393,15
fm_57952_-52281,12
fm_58296_19183,15
fm_5908_54984,3
fm_60342_-38136,5
fm_60652_-49121,4
fm_60853_37423,15
fm_61446_12653,8
fm_62002_-10473,15
fm_62453_12363,3
fm_63700_-57801,6
fm_63910_-853,15
fm_64702_-9833,52
fm_64903_32213,6
fm_65250_37153,21
fm_65646_6483,15
fm_65946_8333,15
fm_66053_-27876,15
fm_66503_18863,8
fm_66748_-7995,4
fm_67079_-9555,27
fm_67229_-18505,6
fm_67950_32493,6
fm_68752_-7633,15
fm_69203_20113,50
fm_69547_-33456,20
fm_69552_-37186,8
fm_7004_40236,5
fm_72148_-8565,4
fm_72803_16373,8
fm_73003_36223,15
fm_73252_-2083,7
fm_7356_64894,15
fm_73702_-3903,15
fm_73948_-8565,8
fm_74153_-36256,54
fm_74279_-14795,20
fm_74398_-14455,5
fm_75195_-105278,3
fm_75851_-97248,5
fm_76297_-30096,9
fm_77302_-50411,9
fm_77302_-56891,4
fm_78554_-59681,15
fm_78996_13293,35
fm_79103_-28546,15
fm_79229_-14165,14
fm_79451_-100068,4
fm_79457_-1763,9
fm_80002_-11083,19
fm_80068_-23276,5
fm_80203_31533,5
fm_80350_-53171,8
fm_80452_-3923,15
fm_80903_15123,6
fm_81148_-9845,20
fm_81246_14233,17
fm_81479_-12305,4
fm_81598_-4875,5
fm_83250_37753,8
fm_83279_-14195,6
fm_83334_-4275,8
fm_83602_-4543,4
fm_83605_-95108,3
fm_83848_-16315,3
fm_8390_-23841,15
fm_86548_-5495,8
fm_8699_-92838,4
fm_87779_-12325,2
fm_88331_-19145,28
fm_90029_-12905,15
fm_92150_-80281,4
fm_92940_-103240,26
fm_92994_-104140,5
fm_93048_-49683,7
fm_93048_-54303,8
fm_9352_-11355,5
fm_93851_-68541,7
fm_94286_-3722,15
fm_94529_-10775,5
fm_94648_-11075,7
fm_95636_-2502,7
fm_96993_-46853,32
fm_97100_-73161,7
fm_97901_-68501,7
fm_97998_-48423,15
fm_98790_-94220,6
fm_98793_-54603,43
fm_99242_-36959,5
fm_99242_37128,8
fm_99248_20317,5
fm_99350_-75991,2
fm_-10000_-5800,15
fm_-10000_-7620,12
fm_-10000_29347,23
fm_-100037_-98830,15
fm_-10005_41067,18
fm_-100084_-78464,15
fm_-1000_-2080,9
fm_-100197_-67004,14
fm_-100199_-56897,15
fm_-100239_-13544,41
fm_-100239_-25284,5
fm_-100239_-30884,5
fm_-10041_-9088,11
fm_-100593_-15044,15
fm_-100593_-23114,7
fm_-100593_-28684,5
fm_-1005_29947,16
fm_-100636_-78784,4
fm_-100649_-50377,25
fm_-100689_-12884,25
fm_-100689_-6704,15
fm_-100689_-7944,7
fm_-100748_-104672,38
fm_-100753_-95382,17
fm_-100881_-92930,10
fm_-100937_-103160,33
fm_-100995_-49487,20
fm_-100995_-55977,7
fm_-101043_-26234,15
fm_-101094_-59417,22
fm_-101099_-54417,4
fm_-101100_-95722,49
fm_-101100_-97582,7
fm_-101139_-25944,9
fm_-101139_-35844,3
fm_-101159_-88910,15
fm_-101180_-106570,15
fm_-101203_-102842,15
fm_-101203_-94192,4
fm_-101294_-82784,17
fm_-101331_-94160,20
fm_-101387_-103170,8
fm_-101387_-92620,14
fm_-101434_-77844,6
fm_-101547_-67034,31
fm_-101549_-51647,22
fm_-101550_-98782,15
fm_-10164_21602,3
fm_-101781_-93550,12
fm_-101815_-67954,3
fm_-101895_-52597,15
fm_-101895_-59087,7
fm_-101914_-83454,7
fm_-101986_-71644,21
fm_-101999_-51647,15
fm_-102000_-101272,20
fm_-102334_-70084,17
fm_-102345_-54147,18
fm_-102345_-59047,26
fm_-10236_-68623,17
fm_-102403_-105332,15
fm_-102450_-95732,8
fm_-102450_-98192,9
fm_-102450_-99442,14
fm_-102553_-95392,26
fm_-102737_-104390,4
fm_-102877_-68534,15
fm_-102886_-75704,48
fm_-102886_-80624,9
fm_-102886_-81234,15
fm_-102900_-91342,56
fm_-103187_-103160,5
fm_-10322_20137,8
fm_-103245_-46377,18
fm_-103247_-60657,4
fm_-103350_-101882,16
fm_-103350_-102522,26
fm_-103350_-98822,15
fm_-1033_-67723,69
fm_-10346_37057,20
fm_-103581_-91070,27
fm_-103581_-97290,7
fm_-103695_-52537,15
fm_-103746_-59727,14
fm_-103799_-56937,15
fm_-103836_-90752,8
fm_-10389_-3158,3
fm_-103902_-91042,15
fm_-103903_-101012,51
fm_-10391_15497,5
fm_-104031_-96650,6
fm_-104087_-101910,4
fm_-104134_-79694,6
fm_-10419_-17768,4
fm_-104236_-74164,15
fm_-104236_-80664,15
fm_-104249_-57497,12
fm_-104250_-99442,6
fm_-104353_-95402,15
fm_-104353_-99712,5
fm_-104397_-106870,15
fm_-10448_-75732,15
fm_-10449_52111,49
fm_-10449_55861,15
fm_-10449_64551,4
fm_-10450_-13190,7
fm_-104584_-68864,29
fm_-10464_14762,15
fm_-104699_-56277,8
fm_-10491_-5358,20
fm_-10491_-9708,5
fm_-105034_-71994,13
fm_-105034_-74434,8
fm_-105064_-83404,5
fm_-10506_-90597,54
fm_-105097_-68274,6
fm_-105107_-45777,40
fm_-105149_-55047,64
fm_-105253_-92942,23
fm_-105253_-96642,42
fm_-105381_-91060,71
fm_-105381_-94760,15
fm_-105381_-99160,22
fm_-10551_-71132,7
fm_-10551_-71722,5
fm_-105586_-73484,3
fm_-105600_-91402,15
fm_-105600_-91962,6
fm_-105601_-105972,15
fm_-105680_-106570,22
fm_-105831_-89860,19
fm_-105831_-92940,15
fm_-105831_-97270,15
fm_-105887_-97580,4
fm_-105934_-68844,7
fm_-105934_-69474,15
fm_-105934_-80344,8
fm_-106003_-105342,7
fm_-106036_-77554,7
fm_-106036_-80634,15
fm_-106050_-95692,63
fm_-106130_-106550,6
fm_-106281_-104080,43
fm_-106337_-100090,15
fm_-106486_-71624,18
fm_-106500_-102552,15
fm_-106603_-103462,8
fm_-106731_-103480,14
fm_-106731_-105300,29
fm_-106787_-93220,20
fm_-106907_-45757,16
fm_-10695_-80713,6
fm_-107237_-91990,5
fm_-107249_-60007,47
fm_-107284_-73184,6
fm_-107295_-46967,5
fm_-107400_-96932,15
fm_-107400_-98192,7
fm_-107665_-67944,4
fm_-107745_-50057,6
fm_-107745_-56007,23
fm_-107840_-46067,55
fm_-107850_-104402,15
fm_-107850_-44537,17
fm_-107953_-92902,4
fm_-108137_-100070,7
fm_-108184_-75074,6
fm_-108286_-71034,7
fm_-108300_-103172,9
fm_-108300_-96362,41
fm_-10832_-90907,7
fm_-10839_-12128,18
fm_-10839_-4418,4
fm_-10839_-5668,5
fm_-108403_-92292,15
fm_-108403_-92912,30
fm_-108403_-99712,15
fm_-108447_-106910,7
fm_-108531_-90450,5
fm_-108531_-96640,2
fm_-108587_-105030,6
fm_-108645_-48227,11
fm_-108645_-54767,19
fm_-108750_-100672,60
fm_-108750_-94482,15
fm_-10895_-91557,15
fm_-108981_-105320,27
fm_-108981_-92300,7
fm_-108981_-93540,21
fm_-109019_-90162,73
fm_-109037_-90140,7
fm_-10905_39837,17
fm_-10912_9444,23
fm_-109186_-75704,8
fm_-109431_-99770,7
fm_-109434_-45107,18
fm_-109649_-47277,27
fm_-109649_-56917,7
fm_-109748_-104732,53
fm_-109753_-101602,7
fm_-109753_-91682,22
fm_-109881_-100980,23
fm_-109881_-92930,15
fm_-109886_-83724,15
fm_-11001_-75472,20
fm_-110029_-89532,38
fm_-11005_58621,6
fm_-11005_60521,54
fm_-110086_-74724,40
fm_-110099_-47907,4
fm_-1101_-75442,15
fm_-110326_-105960,15
fm_-110387_-100710,15
fm_-110445_-48867,30
fm_-110536_-74154,23
fm_-110549_-56307,15
fm_-110550_-95702,71
fm_-1105_57381,9
fm_-110630_-106590,27
fm_-110781_-96050,20
fm_-110781_-99150,12
fm_-110837_-95130,20
fm_-110884_-75994,5
fm_-110884_-81594,17
fm_-111103_-100332,15
fm_-111226_-67624,36
fm_-111231_-93520,7
fm_-111231_-94770,24
fm_-111280_-45447,15
fm_-11140_-81963,4
fm_-111436_-71684,15
fm_-111450_-101282,4
fm_-11145_-78233,5
fm_-11145_-79533,10
fm_-111481_-107830,8
fm_-11149_-17148,15
fm_-111553_-96612,7
fm_-1115_15052,15
fm_-1115_16902,23
fm_-111784_-70734,7
fm_-111899_-51047,17
fm_-112003_-99142,5
fm_-112036_-89220,7
fm_-112126_-67644,59
fm_-112131_-104700,15
fm_-112234_-79684,15
fm_-11238_-7980,6
fm_-11246_30837,7
fm_-11246_34607,12
fm_-11246_36467,27
fm_-11246_40757,16
fm_-112581_-92330,7
fm_-11262_13154,8
fm_-11262_4154,23
fm_-112637_-90110,3
fm_-112684_-71934,5
fm_-112695_-49447,7
fm_-112781_-81914,6
fm_-112799_-52267,57
fm_-112859_-88890,3
fm_-113031_-99750,15
fm_-113087_-90790,15
fm_-113087_-93210,7
fm_-113134_-79694,7
fm_-113249_-50387,53
fm_-113353_-100952,4
fm_-11348_-80072,30
fm_-11349_64511,8
fm_-113584_-71314,15
fm_-113699_-52227,7
fm_-113699_-55017,7
fm_-113699_-58117,16
fm_-113803_-96032,15
fm_-113905_-60297,16
fm_-11393_15207,26
fm_-113987_-102530,15
fm_-114034_-76604,15
fm_-114064_-83404,4
fm_-1141_-70213,19
fm_-1141_-70853,4
fm_-114495_-54097,7
fm_-114590_-46047,7
fm_-114698_-104702,5
fm_-114703_-95432,36
fm_-114747_-106910,15
fm_-114831_-104070,15
fm_-114831_-94780,6
fm_-114887_-95750,9
fm_-11491_-71443,15
fm_-11492_-83213,7
fm_-114945_-55387,8
fm_-115049_-47907,5
fm_-115050_-104402,4
fm_-115050_-98182,4
fm_-115113_-89832,7
fm_-115153_-93552,17
fm_-115315_-67934,4
fm_-115337_-100060,9
fm_-115337_-93210,2
fm_-115384_-70744,9
fm_-115384_-75964,15
fm_-11554_-68323,39
fm_-115603_-96042,19
fm_-115780_-45457,5
fm_-115845_-48237,4
fm_-115845_-51327,15
fm_-115903_-105292,15
fm_-115929_-90422,27
fm_-11595_-75483,5
fm_-11595_-78903,15
fm_-116181_-97270,35
fm_-116237_-95720,48
fm_-11632_-1908,7
fm_-116399_-51607,15
fm_-116431_-107780,6
fm_-11655_28717,15
fm_-116687_-93850,5
fm_-1167_-68332,37
fm_-116836_-73494,7
fm_-116836_-78794,12
fm_-11688_-9180,15
fm_-116909_-88880,4
fm_-11693_-105827,15
fm_-117081_-101640,15
fm_-117081_-104120,66
fm_-117137_-95070,4
fm_-117137_-98180,15
fm_-117137_-98210,16
fm_-117195_-54727,8
fm_-117300_-92012,41
fm_-117300_-99452,27
fm_-11739_-4408,15
fm_-11741_10207,8
fm_-11741_12117,15
fm_-117531_-91670,6
fm_-117531_-94770,15
fm_-117587_-105610,15
fm_-117749_-52907,15
fm_-117853_-103492,15
fm_-117878_-107220,2
fm_-11795_-92207,14
fm_-117981_-100350,6
fm_-117981_-99780,15
fm_-11798_-73312,8
fm_-11799_54021,16
fm_-11800_-10730,4
fm_-11800_-2700,6
fm_-118037_-103170,8
fm_-118037_-99440,7
fm_-11805_39247,19
fm_-118084_-76594,37
fm_-118095_-50697,40
fm_-11812_5744,46
fm_-11814_14112,15
fm_-118179_-90442,7
fm_-118199_-54447,10
fm_-11822_20332,18
fm_-118280_-106540,9
fm_-118431_-98490,2
fm_-118534_-71944,24
fm_-118534_-78464,59
fm_-118603_-105332,7
fm_-118636_-71054,54
fm_-118636_-74114,8
fm_-118649_-58767,19
fm_-118650_-102512,17
fm_-118650_-93872,16
fm_-118881_-101010,7
fm_-118984_-79684,15
fm_-118984_-79734,8
fm_-118988_-106240,7
fm_-119086_-76294,15
fm_-11915_11332,5
fm_-119203_-102222,8
fm_-119387_-93220,21
fm_-11941_-71463,50
fm_-11941_-77983,14
fm_-119434_-75074,39
fm_-119434_-78454,36
fm_-119527_-68544,15
fm_-119549_-47327,15
fm_-119550_-101322,23
fm_-119550_-93832,4
fm_-119586_-90762,7
fm_-119653_-102822,41
fm_-119653_-94142,2
fm_-119781_-102250,7
fm_-119781_-96620,4
fm_-119884_-70754,7
fm_-119895_-54757,26
fm_-119986_-74164,15
fm_-119986_-79424,4
fm_-119999_-50387,15
fm_-120231_-101620,64
fm_-120231_-91040,48
fm_-120347_-60607,9
fm_-120436_-71024,15
fm_-120436_-73534,15
fm_-120436_-74724,16
fm_-120553_-91702,32
fm_-120784_-79124,8
fm_-121003_-96002,15
fm_-12137_-101817,5
fm_-12138_-2370,25
fm_-12138_-4850,32
fm_-121486_-89240,23
fm_-12189_-13998,24
fm_-12191_9607,18
fm_-122031_-105360,7
fm_-122386_-89230,26
fm_-12248_-76402,15
fm_-122537_-98220,24
fm_-12255_29927,4
fm_-12293_13307,20
fm_-12293_9917,15
fm_-12302_20652,46
fm_-12355_64851,6
fm_-12365_12572,7
fm_-12365_19402,15
fm_-12391_-75183,7
fm_-12391_-81043,15
fm_-12495_-79533,7
fm_-12587_-94377,6
fm_-12596_32707,3
fm_-12637_-1470,8
fm_-12660_3391,27
fm_-12660_7381,17
fm_-12690_-16468,15
fm_-12695_-98987,8
fm_-12699_63921,66
fm_-12700_-11990,27
fm_-12705_41717,7
fm_-12714_12282,7
fm_-12714_14762,15
fm_-12714_15362,15
fm_-12734_19547,16
fm_-12741_-7818,15
fm_-12741_-9658,15
fm_-12750_51531,15
fm_-127733_-71365,14
fm_-127733_-88705,8
fm_-128088_-80295,21
fm_-12815_14452,39
fm_-128183_-68265,15
fm_-128183_-69445,16
fm_-128292_-60455,15
fm_-128292_-60825,3
fm_-12841_-71443,7
fm_-12841_-72713,8
fm_-12841_-73293,6
fm_-12841_-81653,17
fm_-128538_-70415,5
fm_-128538_-70425,7
fm_-128538_-84675,6
fm_-128538_-86495,5
fm_-12860_-29,4
fm_-12860_8341,29
fm_-128633_-80015,15
fm_-128633_-83125,5
fm_-128633_-88105,15
fm_-128988_-66715,23
fm_-129083_-77505,7
fm_-129083_-88055,15
fm_-129083_-90555,15
fm_-12936_-68673,61
fm_-129438_-82775,4
fm_-129438_-93945,6
fm_-12945_-69293,36
fm_-12945_-77013,16
fm_-129533_-65155,10
fm_-129533_-91795,15
fm_-129642_-60495,10
fm_-129888_-72255,8
fm_-129888_-92715,15
fm_-129983_-70715,7
fm_-130013_-96165,3
fm_-130338_-63615,19
fm_-130338_-82785,14
fm_-13038_-3010,4
fm_-13062_9134,21
fm_-130788_-65475,25
fm_-130788_-72915,36
fm_-130883_-80015,15
fm_-130883_-84335,5
fm_-130883_-91205,15
fm_-13089_-6238,15
fm_-13089_-7508,4
fm_-13110_4331,4
fm_-13110_9891,7
fm_-131135_-95795,22
fm_-131238_-74135,20
fm_-131333_-63305,8
fm_-131333_-66975,34
fm_-13145_-103927,4
fm_-13149_54001,15
fm_-13149_54621,17
fm_-13150_29337,57
fm_-131688_-62985,3
fm_-131688_-84655,27
fm_-131783_-68835,7
fm_-13191_-14918,17
fm_-13191_-8418,4
fm_-13193_12377,16
fm_-132233_-86865,25
fm_-132263_-96135,15
fm_-13251_-70482,18
fm_-13251_-79172,35
fm_-13255_52421,8
fm_-13265_13202,15
fm_-132683_-71955,15
fm_-133038_-72915,6
fm_-133038_-76595,6
fm_-133038_-84075,15
fm_-13310_8361,32
fm_-13354_-68333,5
fm_-133583_-77545,15
fm_-13386_-68653,46
fm_-133938_-85925,46
fm_-133938_-87125,16
